  crm_leads  ·  600 lignes  ·  10 colonnes,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LED0021,Sarra Mabrouk,sarra.mabrouk@outlook.com,Leoni Tunisie,+216 23 354 979,Website,Contacted,France,Technology,2023-06-29,
LED0022,Kais Ayadi,kais.ayadi@gmail.com,Leoni Tunisie,+216 90 790 791,Inbound,Converted,France,Finance,2022-08-13,
LED0023,Mehdi Mansouri,mehdi.mansouri@gmail.com,OCP Maroc,+216 22 879 923,Website,Qualified,Tunisie,Energie,2022-01-17,
LED0024,Aziz Ferjani,aziz.ferjani@gmail.com,IBM Tunisie,+216 50 379 434,LinkedIn,Contacted,Tunisie,Assurance,2023-06-24,
LED0025,Mouna Bouaziz,mouna.bouaziz@gmail.com,VERMEG,+216 50 347 321,LinkedIn,Contacted,Maroc,Energie,2023-04-15,
LED0026,Zied Hammami,zied.hammami@gmail.com,SNCFT,+216 52 507 616,Referral,New,France,Assurance,2024-12-11,
LED0027,Tarek Souissi,tarek.souissi@outlook.com,Sfax Cables,+216 20 404 888,Website,Qualified,Maroc,Transport,2024-01-15,
LED0028,Hajer Ben Romdhane,hajer.ben-romdhane@gmail.com,IBM Tunisie,+216 21 622 996,Website,Qualified,Tunisie,Finance,2024-08-24,
LED0029,Chaima Karray,chaima.karray@gmail.com,BH Bank,+216 55 986 533,Referral,New,Tunisie,Transport,2022-09-24,
LED0030,Khaled Ben Youssef,khaled.ben-youssef@gmail.com,STEG,+216 22 739 235,Cold Call,Qualified,Maroc,Transport,2024-02-26,
LED0031,Nour Laabidi,nour.laabidi@yahoo.fr,UIB Banque,+216 92 471 440,Cold Call,Disqualified,Algerie,Telecom,2023-12-04,Unresponsive
LED0032,Nizar Bouaziz,nizar.bouaziz@yahoo.fr,Sfax Cables,+216 90 116 626,Inbound,Converted,France,Secteur Public,2023-12-13,
LED0033,Aymen Laabidi,aymen.laabidi@gmail.com,BIAT Leasing,+216 95 102 999,Website,Contacted,Tunisie,Transport,2022-09-22,
LED0034,Mariem Haddad,mariem.haddad@gmail.com,Total Energies TN,+216 92 595 322,Trade Show,Converted,France,Secteur Public,2022-12-05,
LED0035,Lotfi Laabidi,lotfi.laabidi@yahoo.fr,Talan France,+216 92 600 809,LinkedIn,New,Tunisie,Energie,2023-03-23,
LED0036,Rania Ben Youssef,rania.ben-youssef@outlook.com,Delice Danone,+216 21 941 918,Event,Contacted,Tunisie,Secteur Public,2022-09-01,
LED0037,Zied Ben Ali,zied.ben-ali@yahoo.fr,CNAM,+216 27 761 744,LinkedIn,Qualified,Maroc,Finance,2023-03-07,
LED0038,Hedi Oueslati,hedi.oueslati@gmail.com,BH Bank,+216 21 119 240,Event,Contacted,Maroc,Technology,2023-08-27,
LED0039,Slim Guizani,slim.guizani@gmail.com,Total Energies TN,+216 27 244 673,Event,New,Algerie,Telecom,2022-08-06,
LED0040,Yassine Ayadi,yassine.ayadi@yahoo.fr,Orange Tunisie,+216 27 624 769,Trade Show,Contacted,Algerie,Secteur Public,2023-02-22,
LED0041,Nacer Fehri,nacer.fehri@gmail.com,Attijari Bank,+216 92 561 387,Partner,Contacted,Algerie,Technology,2024-10-12,
LED0042,Sami Bettaieb,sami.bettaieb@outlook.com,SOMOCER,+216 23 825 699,Website,Qualified,Tunisie,Telecom,2024-03-18,
LED0043,Rania Trabelsi,rania.trabelsi@gmail.com,Tunisie Telecom,+216 25 777 235,Referral,Converted,Tunisie,Industrie,2022-07-24,
LED0044,Mounir Mahfoudhi,mounir.mahfoudhi@outlook.com,Amen Bank,+216 98 614 876,LinkedIn,Contacted,France,Finance,2022-10-20,
LED0045,Nacer Oueslati,nacer.oueslati@outlook.com,Talan France,+216 92 763 160,Referral,Contacted,Tunisie,Assurance,2024-06-28,
LED0046,Amine Guesmi,amine.guesmi@yahoo.fr,Tunisair,+216 98 533 151,Referral,New,Algerie,Secteur Public,2023-08-31,
LED0047,Nacer Laabidi,nacer.laabidi@yahoo.fr,Carthage Cement,+216 55 144 762,Inbound,Contacted,Algerie,Telecom,2023-04-08,
LED0048,Zied Bouzid,zied.bouzid@outlook.com,Tunisie Telecom,+216 53 691 660,Cold Call,New,Tunisie,Industrie,2022-06-06,
LED0049,Olfa Romdhane,olfa.romdhane@gmail.com,Ministere de l Education,+216 26 856 695,Inbound,Converted,Tunisie,Transport,2023-01-07,
LED0050,Rami Jlassi,rami.jlassi@gmail.com,Attijari Bank,+216 52 308 894,Referral,Qualified,Tunisie,Finance,2023-06-28,
LED0051,Kais Ferjani,kais.ferjani@outlook.com,Orange Tunisie,+216 95 933 864,Trade Show,Disqualified,Tunisie,Assurance,2024-05-25,Competitor
LED0052,Slim Mahfoudhi,slim.mahfoudhi@gmail.com,STIIP Assurance,+216 27 522 937,Inbound,Disqualified,Maroc,Technology,2023-11-14,Competitor
LED0053,Kais Guizani,kais.guizani@yahoo.fr,CNAM,+216 24 249 407,Cold Call,Disqualified,Tunisie,Telecom,2024-05-13,No budget
LED0054,Maroua Elloumi,maroua.elloumi@yahoo.fr,Attijari Bank,+216 92 523 750,Partner,New,Maroc,Transport,2024-01-13,
LED0055,Imen Trabelsi,imen.trabelsi@outlook.com,Poulina Group,+216 90 278 966,Event,Disqualified,France,Telecom,2024-05-12,Unresponsive
LED0056,Afef Ben Fredj,afef.ben-fredj@gmail.com,CIH Bank Maroc,+216 53 906 174,Inbound,New,Maroc,Technology,2022-04-21,
LED0057,Ines Hamouda,ines.hamouda@yahoo.fr,Sfax Cables,+216 20 856 491,LinkedIn,New,Maroc,Finance,2022-01-26,
LED0058,Karim Ben Fredj,karim.ben-fredj@gmail.com,SOMOCER,+216 98 661 979,Trade Show,Disqualified,Tunisie,Secteur Public,2022-01-28,Unresponsive
LED0059,Wael Cherni,wael.cherni@gmail.com,SNCFT,+216 21 809 316,LinkedIn,New,Tunisie,Energie,2024-07-19,
LED0060,Oussama Ben Youssef,oussama.ben-youssef@yahoo.fr,Delice Danone,+216 26 426 886,Event,New,Tunisie,Technology,2022-09-14,
LED0061,Olfa Oueslati,olfa.oueslati@yahoo.fr,IBM Tunisie,+216 25 455 447,Trade Show,Disqualified,Tunisie,Finance,2024-02-19,Unresponsive
LED0062,Imen Haddad,imen.haddad@gmail.com,CNAM,+216 21 707 194,Referral,Qualified,France,Industrie,2022-02-27,
LED0063,Mohamed Toumi,mohamed.toumi@yahoo.fr,VERMEG,+216 55 854 991,Cold Call,Converted,Tunisie,Assurance,2023-05-08,
LED0064,Bilel Chabbi,bilel.chabbi@gmail.com,Ministere de l Education,+216 21 479 888,Referral,Qualified,Tunisie,Telecom,2023-08-02,
LED0065,Hedi Jebali,hedi.jebali@yahoo.fr,SPS Tunisia,+216 20 562 707,Partner,Disqualified,Tunisie,Secteur Public,2024-10-25,No budget
LED0066,Rania Sassi,rania.sassi@outlook.com,Ministere de l Education,+216 95 295 528,Trade Show,New,Maroc,Finance,2023-03-18,
LED0067,Zied Hamouda,zied.hamouda@yahoo.fr,SNCFT,+216 25 611 669,Partner,Disqualified,Tunisie,Telecom,2023-08-19,No budget
LED0068,Hedi Bouzid,hedi.bouzid@outlook.com,OCP Maroc,+216 27 458 857,Cold Call,Contacted,Tunisie,Energie,2022-06-03,
LED0069,Lotfi Trabelsi,lotfi.trabelsi@outlook.com,IBM Tunisie,+216 26 751 510,Referral,Disqualified,Maroc,Secteur Public,2023-10-05,Competitor
LED0070,Emna Karray,emna.karray@outlook.com,Talan France,+216 27 179 741,LinkedIn,Disqualified,Tunisie,Technology,2023-06-09,Unresponsive
LED0071,Olfa Gharbi,olfa.gharbi@outlook.com,Ministere des Finances,+216 27 763 975,Inbound,Disqualified,France,Transport,2024-06-21,Wrong target
LED0072,Sarra Abidi,sarra.abidi@yahoo.fr,OCP Maroc,+216 98 803 643,Trade Show,Qualified,Tunisie,Technology,2022-04-27,
LED0073,Imen Ncibi,imen.ncibi@gmail.com,BIAT,+216 95 682 619,Referral,Contacted,Tunisie,Energie,2022-07-11,
LED0074,Khaled Brahim,khaled.brahim@gmail.com,Ministere des Finances,+216 92 263 877,Referral,Disqualified,Tunisie,Assurance,2024-04-02,Competitor
LED0075,Fatma Hamdi,fatma.hamdi@outlook.com,Ooredoo Tunisie,+216 21 310 947,Referral,Qualified,Tunisie,Telecom,2022-11-15,
LED0076,Tarek Sghaier,tarek.sghaier@outlook.com,TTS,+216 26 928 695,Website,Qualified,Maroc,Assurance,2023-03-14,
LED0077,Yassine Mabrouk,yassine.mabrouk@gmail.com,Tunisair,+216 25 611 830,Referral,Contacted,Tunisie,Telecom,2024-04-09,
LED0078,Mounir Mansouri,mounir.mansouri@outlook.com,IBM Tunisie,+216 25 306 565,LinkedIn,New,Tunisie,Secteur Public,2023-12-02,
LED0079,Sofiene Bchir,sofiene.bchir@yahoo.fr,Attijari Bank,+216 90 855 462,Inbound,Qualified,Tunisie,Energie,2022-01-21,
LED0080,Wassim Sghaier,wassim.sghaier@yahoo.fr,SOMOCER,+216 55 677 700,Partner,New,Tunisie,Technology,2022-10-30,
LED0081,Wassim Guizani,wassim.guizani@outlook.com,Microsoft Tunisie,+216 22 571 726,LinkedIn,Disqualified,Tunisie,Finance,2022-03-16,Wrong target
LED0082,Karim Kchaou,karim.kchaou@gmail.com,TTS,+216 20 674 642,Partner,Contacted,Maroc,Secteur Public,2022-01-30,
LED0083,Ahmed Ben Ali,ahmed.ben-ali@outlook.com,Orange Tunisie,+216 95 543 477,Trade Show,Disqualified,Tunisie,Energie,2023-12-22,Competitor
LED0084,Ghassen Abidi,ghassen.abidi@yahoo.fr,Total Energies TN,+216 92 428 401,Partner,Contacted,Tunisie,Secteur Public,2022-11-30,
LED0085,Tarek Ben Ali,tarek.ben-ali@gmail.com,Star Assurance,+216 52 264 295,Referral,New,Tunisie,Technology,2022-02-03,
LED0086,Salma Haddad,salma.haddad@yahoo.fr,BIAT Leasing,+216 27 177 763,Website,Qualified,Tunisie,Secteur Public,2023-04-02,
LED0087,Emna Ferjani,emna.ferjani@outlook.com,CIH Bank Maroc,+216 22 175 792,Inbound,Disqualified,Algerie,Technology,2023-04-04,Wrong target
LED0088,Sami Tlili,sami.tlili@outlook.com,VERMEG,+216 53 313 582,Inbound,New,Algerie,Assurance,2022-11-11,
LED0089,Wassim Sassi,wassim.sassi@gmail.com,STB Banque,+216 92 441 871,Cold Call,Converted,France,Assurance,2024-03-16,
LED0090,Hedi Ben Slama,hedi.ben-slama@gmail.com,Attijari Bank,+216 27 546 840,LinkedIn,Disqualified,France,Telecom,2022-09-16,No budget
LED0091,Amine Jebali,amine.jebali@gmail.com,Banque Centrale Tunisie,+216 95 581 809,Partner,Contacted,France,Assurance,2022-02-22,
LED0092,Maroua Bouaziz,maroua.bouaziz@outlook.com,GCT,+216 99 925 203,Inbound,New,Tunisie,Transport,2024-01-04,
LED0093,Mehdi Hamouda,mehdi.hamouda@outlook.com,BIAT Leasing,+216 55 954 517,Event,New,Tunisie,Technology,2022-10-22,
LED0094,Mariem Fehri,mariem.fehri@outlook.com,Orange Tunisie,+216 98 134 994,Referral,Contacted,Maroc,Technology,2023-01-05,
LED0095,Bilel Amri,bilel.amri@yahoo.fr,Total Energies TN,+216 98 665 645,Website,Disqualified,Tunisie,Telecom,2022-06-06,Competitor
LED0096,Khaled Ben Slama,khaled.ben-slama@yahoo.fr,OCP Maroc,+216 24 398 981,Event,New,France,Industrie,2022-03-06,
LED0097,Sarra Ben Ali,sarra.ben-ali@outlook.com,Ooredoo Tunisie,+216 90 484 656,Event,New,Maroc,Finance,2022-03-02,
LED0098,Leila Sghaier,leila.sghaier@yahoo.fr,BIAT Leasing,+216 21 773 440,Cold Call,New,Algerie,Telecom,2023-03-27,
LED0099,Mounir Ben Slama,mounir.ben-slama@gmail.com,Tunisie Telecom,+216 20 544 362,Trade Show,Disqualified,France,Transport,2024-03-30,Competitor
LED0100,Kais Ferjani,kais.ferjani@gmail.com,Star Assurance,+216 92 251 973,Event,Contacted,Tunisie,Finance,2024-06-06,
LED0101,Ghassen Ben Fredj,ghassen.ben-fredj@gmail.com,VERMEG,+216 95 256 332,Inbound,Contacted,Tunisie,Assurance,2024-02-05,
LED0102,Imen Toumi,imen.toumi@outlook.com,Orange Tunisie,+216 20 856 588,Event,Converted,Tunisie,Secteur Public,2024-03-26,
LED0103,Ahmed Elloumi,ahmed.elloumi@gmail.com,Talan France,+216 27 554 415,Cold Call,Qualified,Tunisie,Transport,2023-10-06,
LED0104,Ameni Bouaziz,ameni.bouaziz@gmail.com,Sfax Cables,+216 23 954 457,Cold Call,Converted,Tunisie,Industrie,2023-08-04,
LED0105,Asma Rekik,asma.rekik@yahoo.fr,Leoni Tunisie,+216 25 576 550,Inbound,Disqualified,Tunisie,Industrie,2023-02-10,Not interested
LED0106,Yassine Souissi,yassine.souissi@outlook.com,Orange Tunisie,+216 99 371 183,Trade Show,Contacted,Tunisie,Transport,2024-02-24,
LED0107,Walid Toumi,walid.toumi@gmail.com,Banque Centrale Tunisie,+216 27 548 651,LinkedIn,Disqualified,Tunisie,Technology,2024-12-16,Wrong target
LED0108,Tarek Haddad,tarek.haddad@yahoo.fr,Total Energies TN,+216 90 468 815,Event,Qualified,Maroc,Assurance,2024-03-30,
LED0109,Nour Bchir,nour.bchir@outlook.com,Tunisair,+216 20 300 691,Trade Show,New,Tunisie,Finance,2022-07-30,
LED0110,Sofiene Guesmi,sofiene.guesmi@gmail.com,TTS,+216 53 180 694,Cold Call,Contacted,Tunisie,Assurance,2024-01-26,
LED0111,Wael Kchaou,wael.kchaou@yahoo.fr,BNA Banque,+216 52 223 389,Website,Qualified,Tunisie,Assurance,2023-11-06,
LED0112,Slim Elloumi,slim.elloumi@gmail.com,BNA Banque,+216 98 492 934,Referral,Contacted,Tunisie,Telecom,2024-04-26,
LED0113,Bilel Romdhane,bilel.romdhane@outlook.com,Sfax Cables,+216 50 417 842,Event,Qualified,Tunisie,Assurance,2022-07-08,
LED0114,Houssem Oueslati,houssem.oueslati@yahoo.fr,Tunisair,+216 90 461 513,Referral,New,France,Technology,2023-03-12,
LED0115,Mariem Jlassi,mariem.jlassi@yahoo.fr,Orange Tunisie,+216 95 488 424,Partner,Qualified,Algerie,Transport,2024-10-30,
LED0116,Maroua Jebali,maroua.jebali@yahoo.fr,Total Energies TN,+216 20 695 987,Cold Call,New,France,Industrie,2022-12-03,
LED0117,Chaima Mabrouk,chaima.mabrouk@gmail.com,Ministere de l Education,+216 52 893 660,Referral,Contacted,Tunisie,Transport,2023-01-19,
LED0118,Walid Ben Slama,walid.ben-slama@gmail.com,SNCFT,+216 50 230 706,Partner,Disqualified,Tunisie,Assurance,2024-03-23,Competitor
LED0119,Mohamed Souissi,mohamed.souissi@yahoo.fr,CNSS,+216 95 862 370,Inbound,Disqualified,Algerie,Industrie,2023-01-23,Competitor
LED0120,Yassine Ben Ali,yassine.ben-ali@outlook.com,SPS Tunisia,+216 23 786 669,Website,Contacted,Tunisie,Energie,2022-08-24,
LED0121,Khaled Mahfoudhi,khaled.mahfoudhi@yahoo.fr,Leoni Tunisie,+216 53 905 898,Inbound,Disqualified,Tunisie,Finance,2023-03-27,No budget
LED0122,Bilel Guizani,bilel.guizani@yahoo.fr,Talan France,+216 26 860 900,Event,New,Tunisie,Assurance,2024-10-27,
LED0123,Wael Rekik,wael.rekik@outlook.com,Ooredoo Tunisie,+216 52 701 348,Referral,Contacted,Tunisie,Finance,2024-07-21,
LED0124,Zied Elloumi,zied.elloumi@outlook.com,CNAM,+216 24 271 232,LinkedIn,New,Tunisie,Assurance,2024-08-28,
LED0125,Maroua Haddad,maroua.haddad@outlook.com,Banque Centrale Tunisie,+216 52 861 790,Cold Call,Converted,Tunisie,Technology,2022-10-28,
LED0126,Amine Bouaziz,amine.bouaziz@outlook.com,Amen Bank,+216 53 332 220,Event,Disqualified,Maroc,Telecom,2024-07-28,Wrong target
LED0127,Sofiene Fehri,sofiene.fehri@yahoo.fr,Star Assurance,+216 50 818 165,Referral,Qualified,Tunisie,Assurance,2022-10-30,
LED0128,Yasmine Mabrouk,yasmine.mabrouk@gmail.com,Tunisair,+216 20 990 547,Partner,Contacted,France,Finance,2024-02-13,
LED0129,Ghassen Ben Salem,ghassen.ben-salem@yahoo.fr,CNAM,+216 50 363 226,LinkedIn,Qualified,Tunisie,Telecom,2024-03-11,
LED0130,Houssem Amri,houssem.amri@gmail.com,Ministere de l Education,+216 52 508 765,Referral,Disqualified,France,Industrie,2023-12-12,Unresponsive
LED0131,Bilel Guizani,bilel.guizani@yahoo.fr,OCP Maroc,+216 92 576 221,Event,Converted,Tunisie,Technology,2023-09-14,
LED0132,Maroua Ayadi,maroua.ayadi@gmail.com,Yazaki Tunisie,+216 90 842 717,Website,Disqualified,Tunisie,Assurance,2024-05-31,Wrong target
LED0133,Lotfi Fehri,lotfi.fehri@gmail.com,SNCFT,+216 50 804 672,LinkedIn,New,Tunisie,Finance,2023-02-07,
LED0134,Rania Khelifi,rania.khelifi@outlook.com,STB Banque,+216 25 985 193,Inbound,Disqualified,Algerie,Technology,2023-06-20,Unresponsive
LED0135,Khaled Ncibi,khaled.ncibi@gmail.com,VERMEG,+216 22 452 159,Cold Call,Qualified,Tunisie,Technology,2023-02-13,
LED0136,Emna Chabbi,emna.chabbi@yahoo.fr,Poulina Group,+216 52 590 879,Inbound,Disqualified,Algerie,Industrie,2024-12-14,Competitor
LED0137,Karim Brahim,karim.brahim@gmail.com,Ministere des Finances,+216 92 298 652,Inbound,Disqualified,Algerie,Technology,2022-02-24,Wrong target
LED0138,Tarek Ncibi,tarek.ncibi@gmail.com,SONEDE,+216 99 863 537,Partner,Contacted,Tunisie,Industrie,2023-08-24,
LED0139,Olfa Mansouri,olfa.mansouri@gmail.com,TTS,+216 23 314 831,Trade Show,New,Tunisie,Industrie,2023-07-08,
LED0140,Karim Ncibi,karim.ncibi@outlook.com,Ministere des Finances,+216 53 804 442,Website,New,Maroc,Secteur Public,2022-04-19,
LED0141,Fatma Rekik,fatma.rekik@gmail.com,STEG,+216 22 710 243,Event,Qualified,Maroc,Finance,2023-02-16,
LED0142,Karim Mahfoudhi,karim.mahfoudhi@outlook.com,BIAT Leasing,+216 95 998 232,Cold Call,New,Maroc,Secteur Public,2024-11-01,
LED0143,Olfa Cherni,olfa.cherni@yahoo.fr,Orange Tunisie,+216 23 798 141,Event,Converted,France,Secteur Public,2022-09-10,
LED0144,Fares Mansouri,fares.mansouri@gmail.com,Ministere des Finances,+216 23 695 563,Cold Call,Disqualified,Algerie,Assurance,2023-08-16,Wrong target
LED0145,Mounir Oueslati,mounir.oueslati@yahoo.fr,Ministere de l Education,+216 90 649 312,Referral,Disqualified,Algerie,Telecom,2022-10-31,Wrong target
LED0146,Mohamed Haddad,mohamed.haddad@gmail.com,SOMOCER,+216 50 573 462,Trade Show,New,Maroc,Transport,2024-08-16,
LED0147,Hamza Guesmi,hamza.guesmi@yahoo.fr,Ministere des Finances,+216 21 981 216,Inbound,Converted,Maroc,Finance,2022-11-07,
LED0148,Emna Mabrouk,emna.mabrouk@outlook.com,Microsoft Tunisie,+216 25 871 685,Inbound,New,France,Secteur Public,2024-08-24,
LED0149,Mounir Kchaou,mounir.kchaou@yahoo.fr,Poulina Group,+216 52 799 390,Partner,Converted,Algerie,Telecom,2024-04-06,
LED0150,Nour Ben Romdhane,nour.ben-romdhane@yahoo.fr,UIB Banque,+216 26 512 220,Trade Show,Qualified,Tunisie,Finance,2022-08-04,
LED0151,Imen Sghaier,imen.sghaier@outlook.com,Talan Maroc,+216 21 869 752,Referral,Disqualified,Tunisie,Energie,2022-03-02,Wrong target
LED0152,Rania Fehri,rania.fehri@outlook.com,SOMOCER,+216 26 713 753,Cold Call,Qualified,Tunisie,Transport,2023-08-09,
LED0153,Wael Chebbi,wael.chebbi@yahoo.fr,Orange Tunisie,+216 52 640 218,Referral,Converted,Algerie,Energie,2023-02-21,
LED0154,Nour Ben Fredj,nour.ben-fredj@gmail.com,Microsoft Tunisie,+216 98 912 863,Partner,Contacted,Maroc,Assurance,2023-01-25,
LED0155,Yassine Bouaziz,yassine.bouaziz@yahoo.fr,UIB Banque,+216 25 900 722,Referral,Disqualified,Tunisie,Finance,2022-05-26,Wrong target
LED0156,Fares Ben Ali,fares.ben-ali@yahoo.fr,Delice Danone,+216 90 575 719,Partner,New,Tunisie,Energie,2023-05-30,
LED0157,Yasmine Guesmi,yasmine.guesmi@outlook.com,BIAT,+216 20 305 847,Event,Disqualified,Algerie,Assurance,2022-08-16,Not interested
LED0158,Mounir Laabidi,mounir.laabidi@yahoo.fr,CNAM,+216 26 546 899,Cold Call,Qualified,Maroc,Assurance,2023-02-23,
LED0159,Slim Mabrouk,slim.mabrouk@yahoo.fr,Star Assurance,+216 99 410 336,Website,Qualified,Tunisie,Finance,2022-06-15,
LED0160,Afef Bouzid,afef.bouzid@gmail.com,Banque Centrale Tunisie,+216 90 642 302,Cold Call,Qualified,France,Telecom,2023-09-14,
LED0161,Fares Mellouli,fares.mellouli@gmail.com,Attijari Bank,+216 53 215 622,Website,Converted,Tunisie,Assurance,2024-03-03,
LED0162,Yasmine Jlassi,yasmine.jlassi@gmail.com,Talan France,+216 90 377 276,Partner,Qualified,Tunisie,Secteur Public,2024-06-13,
LED0163,Asma Khelifi,asma.khelifi@gmail.com,BH Bank,+216 22 423 427,Website,New,France,Industrie,2022-06-06,
LED0164,Mehdi Ncibi,mehdi.ncibi@gmail.com,TTS,+216 50 342 334,Event,Contacted,Maroc,Energie,2024-09-07,
LED0165,Afef Ben Amor,afef.ben-amor@outlook.com,Tunisair,+216 21 783 458,Cold Call,Disqualified,France,Transport,2023-08-23,Not interested
LED0166,Mehdi Ncibi,mehdi.ncibi@yahoo.fr,Yazaki Tunisie,+216 92 607 772,Partner,Disqualified,Tunisie,Assurance,2023-07-27,Competitor
LED0167,Aziz Ben Ali,aziz.ben-ali@gmail.com,Star Assurance,+216 53 631 188,Referral,Qualified,Tunisie,Assurance,2023-04-27,
LED0168,Dorra Hamdi,dorra.hamdi@yahoo.fr,Leoni Tunisie,+216 23 405 970,Event,New,France,Transport,2024-02-26,
LED0169,Hamza Guesmi,hamza.guesmi@outlook.com,Amen Bank,+216 22 362 294,LinkedIn,Disqualified,France,Finance,2023-09-17,Unresponsive
LED0170,Yasmine Dridi,yasmine.dridi@outlook.com,Amen Bank,+216 92 569 905,Cold Call,New,Maroc,Telecom,2024-06-07,
LED0171,Walid Chabbi,walid.chabbi@yahoo.fr,STIIP Assurance,+216 90 115 210,Trade Show,Disqualified,Algerie,Industrie,2024-11-28,Wrong target
LED0172,Zied Brahim,zied.brahim@yahoo.fr,STB Banque,+216 98 843 253,Event,New,France,Telecom,2023-08-29,
LED0173,Slim Romdhane,slim.romdhane@gmail.com,BH Bank,+216 27 517 564,Website,New,Algerie,Industrie,2023-10-20,
LED0174,Yassine Haddad,yassine.haddad@outlook.com,GCT,+216 26 179 531,Trade Show,Converted,Maroc,Transport,2022-04-30,
LED0175,Salma Trabelsi,salma.trabelsi@yahoo.fr,BNA Banque,+216 92 862 121,Event,Qualified,Maroc,Finance,2023-04-11,
LED0176,Mouna Gharbi,mouna.gharbi@gmail.com,Tunisair,+216 99 249 906,LinkedIn,Converted,Maroc,Finance,2023-10-12,
LED0177,Chaima Dridi,chaima.dridi@gmail.com,SONEDE,+216 95 863 752,Website,Converted,Tunisie,Technology,2022-08-12,
LED0178,Aymen Jlassi,aymen.jlassi@outlook.com,CNSS,+216 20 573 405,Inbound,New,Tunisie,Telecom,2022-10-21,
LED0179,Sami Ben Fredj,sami.ben-fredj@outlook.com,Star Assurance,+216 21 303 136,Website,Contacted,Tunisie,Transport,2023-08-19,
LED0180,Karim Trabelsi,karim.trabelsi@yahoo.fr,TTS,+216 95 935 712,Partner,Contacted,Maroc,Industrie,2022-03-08,
LED0181,Mouna Elloumi,mouna.elloumi@outlook.com,STEG,+216 22 172 170,Inbound,Converted,France,Energie,2022-04-16,
LED0182,Yassine Chebbi,yassine.chebbi@yahoo.fr,IBM Tunisie,+216 27 798 845,Cold Call,Qualified,Tunisie,Technology,2023-04-18,
LED0183,Slim Ben Fredj,slim.ben-fredj@gmail.com,Microsoft Tunisie,+216 95 777 253,Referral,Qualified,Algerie,Secteur Public,2022-06-06,
