  crm_contacts  ·  800 lignes  ·  9 colonnes,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
CON0087,Tarek,Ben Youssef,tarek.ben-youssef@ooredoo.tn,+216 24 105 677,ACC0182,CDO,Tunisie,2019-12-06
CON0088,Sofiene,Oueslati,sofiene.oueslati@attijari.tn,+216 90 854 272,ACC0137,DG,Tunisie,2022-01-08
CON0089,Aziz,Laabidi,aziz.laabidi@ooredoo.tn,+216 99 193 367,ACC0174,Directeur Operations,Tunisie,2023-03-17
CON0090,Rania,Mahfoudhi,rania.mahfoudhi@bna.com.tn,+216 27 777 988,ACC0064,Directeur Operations,Tunisie,2023-08-24
CON0091,Bilel,Ben Youssef,bilel.ben-youssef@stb.com.tn,+216 52 333 367,ACC0097,Architecte SI,Tunisie,2022-07-21
CON0092,Hedi,Ben Youssef,hedi.ben-youssef@gmail.com,+216 26 777 773,ACC0117,Directeur Technique,Tunisie,2022-04-06
CON0093,Leila,Souissi,leila.souissi@gmail.com,+216 99 784 204,ACC0017,Responsable SI,Tunisie,2020-03-22
CON0094,Zied,Jebali,zied.jebali@stb.com.tn,+216 22 223 453,ACC0141,CDO,Tunisie,2022-03-05
CON0095,Chaima,Rekik,chaima.rekik@ooredoo.tn,+216 55 674 830,ACC0161,CDO,Tunisie,2019-09-12
CON0096,Ameni,Tlili,ameni.tlili@ttelecom.tn,+216 53 351 969,ACC0167,DSI,Tunisie,2023-11-26
CON0097,Fares,Karray,fares.karray@bna.com.tn,+216 22 172 320,ACC0014,Directeur Technique,Tunisie,2023-01-26
CON0098,Dorra,Ben Slama,dorra.ben-slama@bna.com.tn,+216 27 737 652,ACC0123,DSI,Tunisie,2022-04-30
CON0099,Mariem,Souissi,mariem.souissi@gmail.com,+216 95 112 823,ACC0031,CTO,Tunisie,2021-09-05
CON0100,Nacer,Mahfoudhi,nacer.mahfoudhi@yahoo.fr,+216 52 678 881,ACC0081,Directeur Technique,Tunisie,2019-10-08
CON0101,Aymen,Karray,aymen.karray@yahoo.fr,+216 23 642 179,ACC0157,RSSI,Tunisie,2020-12-20
CON0102,Sarra,Mahfoudhi,sarra.mahfoudhi@attijari.tn,+216 20 341 496,ACC0056,Directeur Technique,Tunisie,2019-10-14
CON0103,Olfa,Bouaziz,olfa.bouaziz@biat.com.tn,+216 95 279 480,ACC0064,RSSI,Tunisie,2020-05-23
CON0104,Sofiene,Haddad,sofiene.haddad@attijari.tn,+216 25 485 470,ACC0169,CTO,Tunisie,2021-11-26
CON0105,Ines,Sassi,ines.sassi@bna.com.tn,+216 25 699 661,ACC0062,Architecte SI,Tunisie,2019-08-19
CON0106,Sami,Jlassi,sami.jlassi@gmail.com,+216 98 857 974,ACC0082,Directeur Technique,Tunisie,2023-10-29
CON0107,Ghassen,Bettaieb,ghassen.bettaieb@biat.com.tn,+216 24 510 671,ACC0198,DG,Tunisie,2022-04-17
CON0108,Sarra,Sghaier,sarra.sghaier@ttelecom.tn,+216 53 387 235,ACC0130,DG,Tunisie,2023-04-21
CON0109,Mohamed,Chebbi,mohamed.chebbi@bna.com.tn,+216 25 974 305,ACC0158,DSI,Tunisie,2019-06-21
CON0110,Nour,Amri,nour.amri@ttelecom.tn,+216 55 242 708,ACC0151,Architecte SI,Tunisie,2022-12-01
CON0111,Mouna,Sghaier,mouna.sghaier@stb.com.tn,+216 52 905 548,ACC0157,Directeur Technique,Tunisie,2020-09-25
CON0112,Chaima,Karray,chaima.karray@yahoo.fr,+216 92 111 405,ACC0042,CTO,Tunisie,2021-12-07
CON0113,Fatma,Sassi,fatma.sassi@biat.com.tn,+216 22 233 464,ACC0188,RSSI,Tunisie,2020-11-17
CON0114,Mohamed,Abidi,mohamed.abidi@ooredoo.tn,+216 23 161 617,ACC0128,DSI,Tunisie,2021-01-07
CON0115,Dorra,Mellouli,dorra.mellouli@biat.com.tn,+216 50 602 706,ACC0198,Directeur Technique,Tunisie,2022-10-12
CON0116,Rami,Ayadi,rami.ayadi@yahoo.fr,+216 21 377 626,ACC0063,CTO,Tunisie,2021-01-15
CON0117,Houssem,Khelifi,houssem.khelifi@ooredoo.tn,+216 98 670 746,ACC0058,Directeur Technique,Tunisie,2021-05-02
CON0118,Lotfi,Bchir,lotfi.bchir@gmail.com,+216 90 920 233,ACC0173,RSSI,Tunisie,2020-04-02
CON0119,Kais,Hamouda,kais.hamouda@bna.com.tn,+216 24 252 623,ACC0199,CTO,Tunisie,2019-06-26
CON0120,Lotfi,Ben Slama,lotfi.ben-slama@ooredoo.tn,+216 53 538 422,ACC0190,CTO,Tunisie,2021-08-08
CON0121,Slim,Ayadi,slim.ayadi@gmail.com,+216 24 241 796,ACC0039,Responsable SI,Tunisie,2019-02-18
CON0122,Kais,Mahfoudhi,kais.mahfoudhi@yahoo.fr,+216 25 478 615,ACC0001,Responsable SI,Tunisie,2019-08-01
CON0123,Walid,Bouaziz,walid.bouaziz@gmail.com,+216 92 133 918,ACC0024,Directeur Technique,Tunisie,2023-09-28
CON0124,Sarra,Brahim,sarra.brahim@gmail.com,+216 22 725 804,ACC0130,Directeur Financier,Tunisie,2019-06-03
CON0125,Hajer,Amri,hajer.amri@biat.com.tn,+216 55 969 258,ACC0067,Architecte SI,Tunisie,2022-12-06
CON0126,Fares,Bouaziz,fares.bouaziz@ooredoo.tn,+216 27 553 533,ACC0200,Directeur Financier,Tunisie,2019-11-15
CON0127,Houssem,Sghaier,houssem.sghaier@yahoo.fr,+216 20 105 655,ACC0092,Architecte SI,Tunisie,2020-09-23
CON0128,Aziz,Ben Romdhane,aziz.ben-romdhane@stb.com.tn,+216 55 727 365,ACC0181,Directeur Operations,Tunisie,2020-03-16
CON0129,Leila,Chebbi,leila.chebbi@stb.com.tn,+216 22 652 180,ACC0013,Architecte SI,Tunisie,2023-08-07
CON0130,Fares,Hammami,fares.hammami@bna.com.tn,+216 20 628 896,ACC0025,Chef de Projet,Tunisie,2023-07-05
CON0131,Wael,Laabidi,wael.laabidi@gmail.com,+216 55 726 444,ACC0096,Architecte SI,Tunisie,2022-04-15
CON0132,Ghassen,Jebali,ghassen.jebali@attijari.tn,+216 21 539 782,ACC0024,Chef de Projet,Tunisie,2019-03-29
CON0133,Ines,Gharbi,ines.gharbi@bna.com.tn,+216 26 584 527,ACC0128,Directeur Operations,Tunisie,2022-10-31
CON0134,Hedi,Laabidi,hedi.laabidi@attijari.tn,+216 27 374 246,ACC0039,Directeur Technique,Tunisie,2022-06-22
CON0135,Oussama,Rekik,oussama.rekik@ttelecom.tn,+216 26 951 271,ACC0016,DSI,Tunisie,2021-02-23
CON0136,Aymen,Sghaier,aymen.sghaier@biat.com.tn,+216 90 156 979,ACC0005,RSSI,Tunisie,2021-09-09
CON0137,Bilel,Ben Amor,bilel.ben-amor@gmail.com,+216 26 565 615,ACC0047,DG,Tunisie,2022-05-07
CON0138,Sofiene,Brahim,sofiene.brahim@stb.com.tn,+216 21 446 234,ACC0092,Chef de Projet,Tunisie,2019-11-23
CON0139,Imen,Bouaziz,imen.bouaziz@gmail.com,+216 21 677 603,ACC0196,CDO,Tunisie,2023-09-30
CON0140,Walid,Hamouda,walid.hamouda@stb.com.tn,+216 55 460 521,ACC0189,DSI,Tunisie,2019-02-27
CON0141,Yasmine,Ben Amor,yasmine.ben-amor@bna.com.tn,+216 22 270 504,ACC0139,Directeur Technique,Tunisie,2021-10-01
CON0142,Mohamed,Brahim,mohamed.brahim@ooredoo.tn,+216 25 188 916,ACC0123,Directeur Technique,Tunisie,2022-06-11
CON0143,Walid,Cherni,walid.cherni@attijari.tn,+216 53 925 702,ACC0016,CTO,Tunisie,2022-04-16
CON0144,Fatma,Dridi,fatma.dridi@ttelecom.tn,+216 90 675 512,ACC0151,DSI,Tunisie,2020-09-10
CON0145,Fares,Amri,fares.amri@stb.com.tn,+216 27 222 848,ACC0167,CDO,Tunisie,2022-12-19
CON0146,Mounir,Dridi,mounir.dridi@biat.com.tn,+216 95 672 905,ACC0097,Directeur Financier,Tunisie,2019-09-18
CON0147,Olfa,Ben Youssef,olfa.ben-youssef@yahoo.fr,+216 25 177 260,ACC0047,Chef de Projet,Tunisie,2023-07-15
CON0148,Yasmine,Jlassi,yasmine.jlassi@bna.com.tn,+216 52 358 919,ACC0191,Directeur Technique,Tunisie,2020-12-11
CON0149,Tarek,Bchir,tarek.bchir@attijari.tn,+216 23 398 918,ACC0115,Chef de Projet,Tunisie,2020-03-05
CON0150,Asma,Mahfoudhi,asma.mahfoudhi@biat.com.tn,+216 26 651 725,ACC0099,CTO,Tunisie,2019-12-07
CON0151,Rami,Romdhane,rami.romdhane@gmail.com,+216 92 320 848,ACC0123,Directeur Technique,Tunisie,2019-11-30
CON0152,Sami,Ben Slama,sami.ben-slama@gmail.com,+216 25 765 420,ACC0027,CTO,Tunisie,2019-12-15
CON0153,Houssem,Chabbi,houssem.chabbi@gmail.com,+216 98 528 726,ACC0181,Chef de Projet,Tunisie,2022-08-31
CON0154,Imen,Ben Romdhane,imen.ben-romdhane@gmail.com,+216 27 547 299,ACC0053,CTO,Tunisie,2022-11-28
CON0155,Yasmine,Mabrouk,yasmine.mabrouk@gmail.com,+216 52 786 337,ACC0013,DSI,Tunisie,2022-01-30
CON0156,Fatma,Ben Fredj,fatma.ben-fredj@stb.com.tn,+216 90 266 821,ACC0170,Chef de Projet,Tunisie,2020-02-13
CON0157,Imen,Jlassi,imen.jlassi@yahoo.fr,+216 55 899 534,ACC0030,CTO,Tunisie,2021-08-22
CON0158,Mariem,Ben Salem,mariem.ben-salem@gmail.com,+216 24 447 601,ACC0098,Chef de Projet,Tunisie,2021-07-01
CON0159,Salma,Ben Romdhane,salma.ben-romdhane@ttelecom.tn,+216 21 559 570,ACC0145,Responsable SI,Tunisie,2023-03-21
CON0160,Oussama,Gharbi,oussama.gharbi@bna.com.tn,+216 98 407 877,ACC0194,DSI,Tunisie,2022-02-07
CON0161,Ameni,Bouaziz,ameni.bouaziz@ttelecom.tn,+216 99 347 483,ACC0147,RSSI,Tunisie,2020-09-04
CON0162,Nour,Amri,nour.amri@ttelecom.tn,+216 24 438 833,ACC0147,RSSI,Tunisie,2019-09-04
CON0163,Nizar,Ben Youssef,nizar.ben-youssef@ooredoo.tn,+216 25 348 600,ACC0011,Architecte SI,Tunisie,2022-10-31
CON0164,Mouna,Cherni,mouna.cherni@yahoo.fr,+216 27 554 235,ACC0082,RSSI,Tunisie,2021-03-05
CON0165,Nacer,Abidi,nacer.abidi@attijari.tn,+216 53 995 363,ACC0180,Directeur Financier,Tunisie,2021-12-06
CON0166,Amine,Jebali,amine.jebali@yahoo.fr,+216 90 342 585,ACC0028,Directeur Financier,Tunisie,2023-05-29
CON0167,Ghassen,Ben Romdhane,ghassen.ben-romdhane@ooredoo.tn,+216 21 137 649,ACC0147,DG,Tunisie,2019-03-18
CON0168,Hedi,Ben Fredj,hedi.ben-fredj@gmail.com,+216 23 774 465,ACC0010,DSI,Tunisie,2022-11-15
CON0169,Hamza,Karray,hamza.karray@stb.com.tn,+216 55 383 801,ACC0078,CTO,Tunisie,2023-09-23
CON0170,Fatma,Ben Salem,fatma.ben-salem@attijari.tn,+216 50 259 689,ACC0199,CTO,Tunisie,2023-02-01
CON0171,Bilel,Sghaier,bilel.sghaier@gmail.com,+216 53 215 219,ACC0190,DSI,Tunisie,2023-11-12
CON0172,Ameni,Ncibi,ameni.ncibi@bna.com.tn,+216 24 798 505,ACC0104,DG,Tunisie,2023-12-06
CON0173,Nacer,Bchir,nacer.bchir@attijari.tn,+216 22 399 185,ACC0009,Responsable SI,Tunisie,2021-01-08
CON0174,Wassim,Trabelsi,wassim.trabelsi@bna.com.tn,+216 95 738 285,ACC0175,Responsable SI,Tunisie,2021-02-01
CON0175,Hedi,Brahim,hedi.brahim@yahoo.fr,+216 22 572 696,ACC0089,CTO,Tunisie,2023-03-14
CON0176,Imen,Zouari,imen.zouari@yahoo.fr,+216 53 758 427,ACC0057,Directeur Financier,Tunisie,2020-07-05
CON0177,Dorra,Kchaou,dorra.kchaou@attijari.tn,+216 95 174 726,ACC0166,RSSI,Tunisie,2023-06-29
CON0178,Asma,Bouzid,asma.bouzid@gmail.com,+216 55 547 620,ACC0109,Directeur Financier,Tunisie,2021-07-29
CON0179,Hamza,Mabrouk,hamza.mabrouk@biat.com.tn,+216 27 123 948,ACC0150,Directeur Technique,Tunisie,2021-11-13
CON0180,Dorra,Souissi,dorra.souissi@ooredoo.tn,+216 21 634 327,ACC0176,Architecte SI,Tunisie,2019-05-11
CON0181,Lotfi,Mahfoudhi,lotfi.mahfoudhi@ttelecom.tn,+216 90 724 731,ACC0049,Responsable SI,Tunisie,2023-04-17
CON0182,Nacer,Ben Youssef,nacer.ben-youssef@yahoo.fr,+216 23 818 735,ACC0185,DSI,Tunisie,2020-08-28
CON0183,Asma,Chabbi,asma.chabbi@gmail.com,+216 55 481 628,ACC0088,Directeur Operations,Tunisie,2022-07-31
CON0184,Dorra,Elloumi,dorra.elloumi@gmail.com,+216 50 954 723,ACC0076,DG,Tunisie,2019-09-20
CON0185,Nacer,Fehri,nacer.fehri@biat.com.tn,+216 98 162 298,ACC0057,Chef de Projet,Tunisie,2023-03-05
CON0186,Wassim,Romdhane,wassim.romdhane@ttelecom.tn,+216 20 447 986,ACC0119,Chef de Projet,Tunisie,2019-04-20
CON0187,Chaima,Hamouda,chaima.hamouda@biat.com.tn,+216 90 828 578,ACC0031,Directeur Financier,Tunisie,2020-09-03
CON0188,Mariem,Sassi,mariem.sassi@ttelecom.tn,+216 24 742 616,ACC0146,Directeur Financier,Tunisie,2020-10-09
CON0189,Imen,Bouzid,imen.bouzid@biat.com.tn,+216 50 410 174,ACC0002,Directeur Technique,Tunisie,2020-03-04
CON0190,Wassim,Mabrouk,wassim.mabrouk@attijari.tn,+216 22 771 500,ACC0034,CDO,Tunisie,2022-07-21
CON0191,Houssem,Mabrouk,houssem.mabrouk@stb.com.tn,+216 24 423 416,ACC0052,Directeur Technique,Tunisie,2020-10-21
CON0192,Mariem,Mansouri,mariem.mansouri@biat.com.tn,+216 99 855 142,ACC0058,RSSI,Tunisie,2019-09-22
CON0193,Khaled,Mabrouk,khaled.mabrouk@attijari.tn,+216 53 369 999,ACC0077,DG,Tunisie,2023-01-30
CON0194,Hamza,Bouaziz,hamza.bouaziz@biat.com.tn,+216 95 390 912,ACC0126,CDO,Tunisie,2019-12-04
CON0195,Ahmed,Ayadi,ahmed.ayadi@attijari.tn,+216 98 457 887,ACC0151,Directeur Financier,Tunisie,2019-09-10
CON0196,Chaima,Romdhane,chaima.romdhane@gmail.com,+216 25 396 621,ACC0153,DG,Tunisie,2022-08-31
CON0197,Hajer,Mabrouk,hajer.mabrouk@biat.com.tn,+216 25 856 767,ACC0141,RSSI,Tunisie,2022-12-08
CON0198,Mariem,Bouaziz,mariem.bouaziz@ooredoo.tn,+216 25 870 196,ACC0170,CDO,Tunisie,2020-07-06
CON0199,Hamza,Bouaziz,hamza.bouaziz@ttelecom.tn,+216 20 500 475,ACC0185,CTO,Tunisie,2020-08-01
CON0200,Zied,Chebbi,zied.chebbi@gmail.com,+216 53 921 785,ACC0134,Directeur Technique,Tunisie,2022-12-11
CON0201,Yasmine,Ben Slama,yasmine.ben-slama@bna.com.tn,+216 24 327 558,ACC0085,DSI,Tunisie,2019-01-27
CON0202,Oussama,Hamouda,oussama.hamouda@yahoo.fr,+216 21 305 861,ACC0024,CDO,Tunisie,2023-01-21
CON0203,Tarek,Bchir,tarek.bchir@biat.com.tn,+216 22 639 410,ACC0013,Directeur Financier,Tunisie,2023-11-26
CON0204,Tarek,Hamdi,tarek.hamdi@bna.com.tn,+216 99 356 657,ACC0025,Directeur Technique,Tunisie,2023-10-11
CON0205,Aziz,Rekik,aziz.rekik@biat.com.tn,+216 92 347 276,ACC0188,Chef de Projet,Tunisie,2023-07-28
CON0206,Kais,Ben Slama,kais.ben-slama@stb.com.tn,+216 92 334 886,ACC0177,DG,Tunisie,2022-08-21
