  erp_payments  ·  800 lignes  ·  8 colonnes,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
PAY00072,SINV00046,2023-03-03,91219.47,Direct Debit,REF-94178351,TND,IBAN43537989250506
PAY00073,SINV00018,2023-11-27,164431.12,Wire Transfer,REF-72324150,TND,IBAN98407777831838
PAY00074,SINV00317,2022-02-28,200882.21,Direct Debit,REF-80496718,TND,IBAN75335560772495
PAY00075,SINV00078,2023-06-22,165383.42,Direct Debit,REF-33193108,TND,IBAN57203095298458
PAY00076,SINV00889,2023-07-13,320949.12,Bank Transfer,REF-96815160,TND,IBAN97539313577910
PAY00077,SINV00477,2022-10-14,51522.23,Direct Debit,REF-69039082,TND,IBAN68916056532090
PAY00078,SINV00344,2023-04-12,247137.47,Bank Transfer,REF-83218261,TND,IBAN73307944528346
PAY00079,SINV00580,2023-12-29,189259.71,SEPA,REF-27020649,TND,IBAN64749078808532
PAY00080,SINV00242,2023-09-12,164614.52,Direct Debit,REF-12608325,TND,IBAN45738685285727
PAY00081,SINV00548,2022-10-01,311925.93,SEPA,REF-91640064,TND,IBAN54411728333009
PAY00082,SINV00215,2022-08-05,36293.13,SEPA,REF-44443356,TND,IBAN86709619413819
PAY00083,SINV00194,2022-07-05,249368.61,Check,REF-86259548,TND,IBAN59661842690208
PAY00084,SINV00860,2022-01-29,23888.28,Bank Transfer,REF-44127033,TND,IBAN96594709626609
PAY00085,SINV00862,2022-06-18,167032.37,Bank Transfer,REF-98483604,TND,IBAN47244683654622
PAY00086,SINV00458,2023-03-02,287910.75,Wire Transfer,REF-12881460,TND,IBAN52714887411008
PAY00087,SINV00521,2023-06-26,243725.33,Wire Transfer,REF-66744388,TND,IBAN30359751924740
PAY00088,SINV00257,2023-05-05,69657.25,Credit Card,REF-84042052,TND,IBAN74281122043015
PAY00089,SINV00116,2022-11-08,332937.39,Direct Debit,REF-16463094,TND,IBAN64938660557319
PAY00090,SINV00874,2025-01-04,5711.99,Direct Debit,REF-30366607,TND,IBAN46137197054275
PAY00091,SINV00578,2023-08-07,20763.37,Bank Transfer,REF-42294117,TND,IBAN77668587425432
PAY00092,SINV00351,2024-07-20,200641.31,Bank Transfer,REF-64275240,TND,IBAN19245163703075
PAY00093,SINV00828,2022-08-16,196749.89,SEPA,REF-59495348,TND,IBAN18219524178165
PAY00094,SINV00203,2022-06-14,80254.82,Credit Card,REF-68459970,TND,IBAN56060190230990
PAY00095,SINV00864,2022-11-19,372034.93,Wire Transfer,REF-66574070,TND,IBAN81999693281089
PAY00096,SINV00874,2024-12-13,7204.62,Wire Transfer,REF-28663438,TND,IBAN30585743008708
PAY00097,SINV00313,2022-08-05,41275.61,Check,REF-65717462,TND,IBAN39034714749238
PAY00098,SINV00316,2022-02-27,374263.99,SEPA,REF-34187401,TND,IBAN69042501647901
PAY00099,SINV00474,2022-04-04,135163.05,Direct Debit,REF-70053932,TND,IBAN58315876642405
PAY00100,SINV00584,2022-05-03,181713.18,Credit Card,REF-27068965,TND,IBAN23874610972888
PAY00101,SINV00454,2022-07-05,11449.62,SEPA,REF-28327026,TND,IBAN73672138869720
PAY00102,SINV00334,2023-07-05,120310.23,Wire Transfer,REF-27181387,TND,IBAN38463666674367
PAY00103,SINV00696,2022-06-06,91608.67,Credit Card,REF-96388307,TND,IBAN17250151567563
PAY00104,SINV00415,2024-10-26,167965.96,Direct Debit,REF-39897930,TND,IBAN48757969944741
PAY00105,SINV00089,2022-06-02,157357.47,SEPA,REF-12291555,TND,IBAN73779323097592
PAY00106,SINV00621,2023-11-28,73306.65,Direct Debit,REF-59955614,TND,IBAN42711416165473
PAY00107,SINV00099,2023-08-17,167806.6,SEPA,REF-64171337,TND,IBAN40951712260180
PAY00108,SINV00837,2023-12-04,245101.81,Credit Card,REF-84564363,TND,IBAN74844908549975
PAY00109,SINV00202,2022-02-14,210237.31,Bank Transfer,REF-78324277,TND,IBAN86408579046044
PAY00110,SINV00653,2023-03-19,123054,SEPA,REF-85525959,TND,IBAN25587083441381
PAY00111,SINV00123,2025-01-04,88308.56,Direct Debit,REF-88775927,TND,IBAN45662895688606
PAY00112,SINV00174,2023-01-17,86994.06,Check,REF-18473178,TND,IBAN64040902903755
PAY00113,SINV00049,2024-08-10,157100,Credit Card,REF-16327772,TND,IBAN32656521884574
PAY00114,SINV00668,2023-12-28,31758.13,Wire Transfer,REF-78920371,TND,IBAN75631594302533
PAY00115,SINV00253,2024-07-29,170116.11,Credit Card,REF-21231380,TND,IBAN57319090971864
PAY00116,SINV00231,2024-08-24,30718.24,Direct Debit,REF-21758903,TND,IBAN28837287184242
PAY00117,SINV00483,2023-06-23,39767.55,Bank Transfer,REF-83113250,TND,IBAN36802941593864
PAY00118,SINV00575,2022-04-21,101443.53,Bank Transfer,REF-97431715,TND,IBAN76026867045782
PAY00119,SINV00015,2022-11-27,290977.4,Wire Transfer,REF-50817352,TND,IBAN98593758701034
PAY00120,SINV00601,2023-07-20,55460.56,Check,REF-62106234,TND,IBAN91900421863874
PAY00121,SINV00568,2025-01-21,36795.68,Credit Card,REF-65160292,TND,IBAN24414353756370
PAY00122,SINV00079,2023-08-01,180590.91,Credit Card,REF-15798785,TND,IBAN52933473007705
PAY00123,SINV00456,2024-04-09,18212.61,Check,REF-46022712,TND,IBAN98953592260072
PAY00124,SINV00644,2022-07-20,160723.75,SEPA,REF-93037088,TND,IBAN39296713758299
PAY00125,SINV00816,2022-10-18,141065.56,Credit Card,REF-34818947,TND,IBAN28164182331201
PAY00126,SINV00269,2025-01-01,344556.63,Check,REF-22289142,TND,IBAN53784550424507
PAY00127,SINV00099,2023-08-24,189530.92,Direct Debit,REF-35852294,TND,IBAN60047938738422
PAY00128,SINV00847,2023-05-08,346636.39,Wire Transfer,REF-93242630,TND,IBAN98224863089719
PAY00129,SINV00160,2024-01-08,307051.51,Bank Transfer,REF-19222194,TND,IBAN28787547306827
PAY00130,SINV00204,2023-09-21,132004.84,Bank Transfer,REF-92614210,TND,IBAN39882571733655
PAY00131,SINV00856,2022-04-04,12435.02,Check,REF-67574548,TND,IBAN46123383168454
PAY00132,SINV00666,2022-06-29,94483.89,Direct Debit,REF-25651132,TND,IBAN80180166905171
PAY00133,SINV00892,2023-01-29,396352.97,Credit Card,REF-20087808,TND,IBAN20948043913727
PAY00134,SINV00409,2024-06-23,85346.66,Bank Transfer,REF-14145039,TND,IBAN46931418671661
PAY00135,SINV00060,2023-12-10,66393.95,SEPA,REF-34956388,TND,IBAN53813162470842
PAY00136,SINV00776,2022-05-13,151807.48,Check,REF-66049215,TND,IBAN22517022472549
PAY00137,SINV00864,2022-11-18,266488.26,Wire Transfer,REF-58092522,TND,IBAN76452638350315
PAY00138,SINV00866,2024-10-07,243437.43,Credit Card,REF-71656254,TND,IBAN84495257942674
PAY00139,SINV00225,2023-02-09,48921.86,Credit Card,REF-90586972,TND,IBAN33433376615744
PAY00140,SINV00757,2024-10-04,144969.63,Credit Card,REF-51272264,TND,IBAN84420048781826
PAY00141,SINV00439,2023-07-06,217576.36,Bank Transfer,REF-75997038,TND,IBAN94238951134032
PAY00142,SINV00035,2024-11-24,82469.33,Check,REF-63540758,TND,IBAN53891621379860
PAY00143,SINV00043,2024-06-11,314187.78,Wire Transfer,REF-32037909,TND,IBAN89772807554587
PAY00144,SINV00326,2022-08-26,17826.84,Credit Card,REF-19787667,TND,IBAN58203686894565
PAY00145,SINV00362,2022-10-06,115719.2,Check,REF-45116160,TND,IBAN67166342070017
PAY00146,SINV00312,2022-08-16,325998.66,SEPA,REF-72477162,TND,IBAN26964899744153
PAY00147,SINV00711,2022-12-29,8803.75,Credit Card,REF-38653179,TND,IBAN99276354255387
PAY00148,SINV00744,2023-12-20,318189.52,SEPA,REF-70948126,TND,IBAN85416628156436
PAY00149,SINV00438,2022-07-20,339723.8,Direct Debit,REF-63026794,TND,IBAN97156819153730
PAY00150,SINV00166,2022-05-07,291285,SEPA,REF-20787879,TND,IBAN46939723709928
PAY00151,SINV00520,2024-06-22,143038.77,SEPA,REF-72205727,TND,IBAN97347353097454
PAY00152,SINV00072,2024-05-16,4017.95,Credit Card,REF-60926778,TND,IBAN17807038936111
PAY00153,SINV00035,2024-11-27,64680.76,Credit Card,REF-87757367,TND,IBAN47972172303482
PAY00154,SINV00141,2023-12-19,238419.03,Credit Card,REF-69146262,TND,IBAN26219499710947
PAY00155,SINV00350,2024-05-31,128577.72,Wire Transfer,REF-57190467,TND,IBAN47144262605372
PAY00156,SINV00583,2023-08-14,275351.44,Direct Debit,REF-29769377,TND,IBAN57158295616528
PAY00157,SINV00433,2025-01-15,63873.05,Credit Card,REF-69255859,TND,IBAN11477313430368
PAY00158,SINV00283,2025-01-06,7395.8,Check,REF-95704444,TND,IBAN18483495596518
PAY00159,SINV00765,2024-06-26,130513.62,Check,REF-85381652,TND,IBAN43943239885650
PAY00160,SINV00832,2022-10-19,22500.8,Credit Card,REF-44269406,TND,IBAN88715585053602
PAY00161,SINV00539,2023-02-20,208338.17,Direct Debit,REF-74273808,TND,IBAN89255942489598
PAY00162,SINV00634,2022-06-27,322165.2,Bank Transfer,REF-98489917,TND,IBAN87262984034128
PAY00163,SINV00675,2024-01-08,125630.13,Direct Debit,REF-85756815,TND,IBAN21801810520084
PAY00164,SINV00391,2022-07-11,34699.2,Credit Card,REF-53011390,TND,IBAN72259902424706
PAY00165,SINV00020,2024-01-11,285928.07,SEPA,REF-81433456,TND,IBAN57812958249050
PAY00166,SINV00105,2024-09-04,141066.5,Check,REF-78375074,TND,IBAN58653900486830
PAY00167,SINV00391,2022-06-15,31760.62,SEPA,REF-65634541,TND,IBAN74824513111602
PAY00168,SINV00739,2022-07-17,194470.91,Direct Debit,REF-64623978,TND,IBAN20046620166226
PAY00169,SINV00010,2023-11-13,51008.77,Direct Debit,REF-62704135,TND,IBAN32810253349384
PAY00170,SINV00873,2024-01-23,86337.16,Direct Debit,REF-33776877,TND,IBAN42376793892488
PAY00171,SINV00346,2022-05-26,194608.12,SEPA,REF-46122030,TND,IBAN61032250561745
PAY00172,SINV00778,2024-01-14,205949.93,SEPA,REF-21178113,TND,IBAN47795107026708
PAY00173,SINV00091,2022-02-24,308708.35,SEPA,REF-37326980,TND,IBAN14924825086220
PAY00174,SINV00738,2023-10-08,266981.94,Check,REF-38511758,TND,IBAN86571725406360
PAY00175,SINV00774,2022-06-25,63209.44,SEPA,REF-54780881,TND,IBAN10467291214376
PAY00176,SINV00169,2024-06-17,170655.38,Credit Card,REF-28762731,TND,IBAN80763709998435
PAY00177,SINV00520,2024-06-30,199559.39,Credit Card,REF-20590088,TND,IBAN44486897912349
PAY00178,SINV00778,2023-12-22,171249.41,Wire Transfer,REF-92897536,TND,IBAN42962639162263
PAY00179,SINV00636,2024-12-31,65895.27,Direct Debit,REF-30402218,TND,IBAN31325308623292
PAY00180,SINV00889,2023-06-12,242107.88,SEPA,REF-19273236,TND,IBAN80342155807248
PAY00181,SINV00282,2022-09-07,227516.88,Wire Transfer,REF-68877011,TND,IBAN38331882754895
PAY00182,SINV00388,2024-02-07,330598.75,Wire Transfer,REF-32096850,TND,IBAN73103415127590
PAY00183,SINV00198,2024-01-13,27980.26,Bank Transfer,REF-99420292,TND,IBAN94207159500571
PAY00184,SINV00506,2023-12-18,18279.69,Credit Card,REF-53988832,TND,IBAN91674359253902
PAY00185,SINV00214,2024-02-05,80919.41,SEPA,REF-99352925,TND,IBAN94120495609682
PAY00186,SINV00527,2024-10-27,112022.45,Direct Debit,REF-25469371,TND,IBAN22769543878198
PAY00187,SINV00290,2022-11-27,26468.68,Credit Card,REF-16952045,TND,IBAN32768129151048
PAY00188,SINV00890,2024-03-09,257038.57,Direct Debit,REF-36647283,TND,IBAN64723288362641
PAY00189,SINV00622,2023-06-03,48292.98,Check,REF-18259173,TND,IBAN76930305847925
PAY00190,SINV00179,2023-04-15,169314.96,Check,REF-50056255,TND,IBAN13218178065198
PAY00191,SINV00862,2022-06-30,138168.87,SEPA,REF-79124867,TND,IBAN35822097089750
PAY00192,SINV00521,2023-05-23,201254.09,Direct Debit,REF-44945814,TND,IBAN79495568131542
PAY00193,SINV00884,2023-01-23,18989.11,SEPA,REF-60328813,TND,IBAN32901741003290
PAY00194,SINV00122,2024-09-05,165184.17,Direct Debit,REF-97085875,TND,IBAN59511636799559
PAY00195,SINV00567,2023-11-17,194596.07,Check,REF-89965973,TND,IBAN11934313203300
PAY00196,SINV00368,2022-07-09,284689.97,Credit Card,REF-62588435,TND,IBAN75099050297201
PAY00197,SINV00521,2023-05-26,215261.62,Wire Transfer,REF-77497192,TND,IBAN91151595557660
PAY00198,SINV00465,2022-08-24,294430.06,Wire Transfer,REF-30103233,TND,IBAN84886303970047
PAY00199,SINV00364,2022-02-21,301027.23,Direct Debit,REF-64534304,TND,IBAN64627158560643
PAY00200,SINV00594,2023-06-02,279849.22,Bank Transfer,REF-23147585,TND,IBAN66281385201395
PAY00201,SINV00288,2023-07-14,192191.02,Direct Debit,REF-34162554,TND,IBAN58483868181673
PAY00202,SINV00356,2022-04-22,307179.03,Direct Debit,REF-36262133,TND,IBAN54191055900090
PAY00203,SINV00389,2022-12-23,309228.3,Direct Debit,REF-67075728,TND,IBAN70821442468060
PAY00204,SINV00226,2022-09-24,243717.35,Bank Transfer,REF-71807665,TND,IBAN32783246657734
PAY00205,SINV00286,2023-02-13,333365.36,Direct Debit,REF-28696828,TND,IBAN14122722342949
PAY00206,SINV00248,2024-02-18,211243.59,Direct Debit,REF-95534886,TND,IBAN59193929938160
PAY00207,SINV00533,2022-09-30,256887.69,Wire Transfer,REF-49433488,TND,IBAN72285377359496
PAY00208,SINV00344,2023-05-12,211835.35,Credit Card,REF-90812766,TND,IBAN72328177629418
PAY00209,SINV00252,2022-03-16,357702.16,Wire Transfer,REF-21182091,TND,IBAN81469383603086
PAY00210,SINV00616,2024-08-23,25832.74,SEPA,REF-90204554,TND,IBAN34018596305768
PAY00211,SINV00156,2022-08-25,59702.47,Check,REF-80157410,TND,IBAN99083130370879
PAY00212,SINV00375,2024-09-10,54001.47,SEPA,REF-77033031,TND,IBAN24701534895206
PAY00213,SINV00745,2023-11-25,65765.87,Wire Transfer,REF-79550339,TND,IBAN78674220445109
PAY00214,SINV00512,2022-03-27,137495.93,Bank Transfer,REF-53388409,TND,IBAN95832346929326
PAY00215,SINV00685,2022-02-15,22712.56,Credit Card,REF-89394391,TND,IBAN38083269869378
PAY00216,SINV00598,2024-07-24,158893.36,Wire Transfer,REF-14546044,TND,IBAN18876102048795
PAY00217,SINV00305,2024-08-22,243580.99,SEPA,REF-11851092,TND,IBAN42333525838811
PAY00218,SINV00309,2023-06-24,183457.87,Direct Debit,REF-88086462,TND,IBAN76276971209868
PAY00219,SINV00697,2024-11-26,61708.09,SEPA,REF-23753960,TND,IBAN54254929751649
PAY00220,SINV00050,2023-01-21,207187.4,Wire Transfer,REF-34960780,TND,IBAN80552955779774
PAY00221,SINV00179,2023-03-25,145137.02,Check,REF-75811325,TND,IBAN49146293550950
PAY00222,SINV00750,2022-12-30,165338.1,Credit Card,REF-69674021,TND,IBAN72032052865996
PAY00223,SINV00482,2023-01-08,90388.71,Check,REF-37645628,TND,IBAN72387337170986
PAY00224,SINV00598,2024-07-01,134164.47,Credit Card,REF-63293740,TND,IBAN23284821466519
PAY00225,SINV00638,2023-08-09,201651.61,SEPA,REF-88873663,TND,IBAN62290414489925
PAY00226,SINV00700,2022-02-20,88899.91,Check,REF-25793277,TND,IBAN83484443494729
PAY00227,SINV00332,2023-07-03,151224.21,Wire Transfer,REF-32003405,TND,IBAN67248969886464
PAY00228,SINV00564,2023-12-25,229603.28,Direct Debit,REF-37383091,TND,IBAN55690606361042
PAY00229,SINV00859,2024-10-11,70214.41,Bank Transfer,REF-13633235,TND,IBAN88348512432104
PAY00230,SINV00229,2022-03-16,73509.8,Bank Transfer,REF-45961565,TND,IBAN19516673176728
PAY00231,SINV00261,2022-05-16,114466.29,Bank Transfer,REF-22045322,TND,IBAN28188076368812
PAY00232,SINV00088,2023-09-25,325030.74,Direct Debit,REF-70848954,TND,IBAN52996111203692
PAY00233,SINV00772,2022-02-20,236663.56,Wire Transfer,REF-22514977,TND,IBAN54096408824491
PAY00234,SINV00036,2024-05-30,188244.05,Check,REF-22948577,TND,IBAN92759699238450
PAY00235,SINV00466,2024-08-13,191441.57,Credit Card,REF-77195977,TND,IBAN36190953212243
PAY00236,SINV00759,2023-11-14,84851.87,SEPA,REF-82346653,TND,IBAN46963150460222
PAY00237,SINV00262,2024-01-21,267464.72,Wire Transfer,REF-13365587,TND,IBAN80097085037493
PAY00238,SINV00502,2024-10-25,259850.86,Check,REF-79444170,TND,IBAN73137578475903
PAY00239,SINV00492,2024-11-22,335684.03,Check,REF-48668446,TND,IBAN56450773894405
PAY00240,SINV00830,2022-08-21,90257.77,SEPA,REF-71983300,TND,IBAN64349255915939
PAY00241,SINV00805,2024-12-30,220057.35,Direct Debit,REF-52735587,TND,IBAN51127153472405
PAY00242,SINV00751,2023-08-19,167817.27,Wire Transfer,REF-94000764,TND,IBAN10214155721955
PAY00243,SINV00813,2022-07-18,306314.74,Credit Card,REF-86733806,TND,IBAN30987182081986
PAY00244,SINV00397,2023-07-22,252722.25,Credit Card,REF-25587413,TND,IBAN81601509162922
PAY00245,SINV00890,2024-03-14,408570.75,Credit Card,REF-37928831,TND,IBAN48932731301487
PAY00246,SINV00843,2022-12-28,76975.79,Check,REF-58304983,TND,IBAN87253777748901
PAY00247,SINV00762,2023-09-09,99702.03,Direct Debit,REF-12732829,TND,IBAN38306790296202
PAY00248,SINV00730,2024-02-18,320183.53,SEPA,REF-62262124,TND,IBAN80594638747598
PAY00249,SINV00399,2024-06-08,380642.69,Wire Transfer,REF-50689224,TND,IBAN10271779098090
PAY00250,SINV00706,2023-01-19,69350.47,Credit Card,REF-66357793,TND,IBAN28561526789638
PAY00251,SINV00260,2022-04-08,3837.57,Direct Debit,REF-47033918,TND,IBAN25308535088018
PAY00252,SINV00448,2024-03-19,359006.23,SEPA,REF-71444363,TND,IBAN17772170527478
PAY00253,SINV00752,2022-10-23,157755.67,SEPA,REF-20998530,TND,IBAN42995425747178
PAY00254,SINV00564,2023-12-16,300426.12,Credit Card,REF-63794151,TND,IBAN99794425784871
PAY00255,SINV00170,2022-01-13,237593.03,Check,REF-12827313,TND,IBAN85981819302629
PAY00256,SINV00846,2023-04-17,147729.25,Wire Transfer,REF-29670041,TND,IBAN12292151034472
PAY00257,SINV00452,2022-04-02,181976.05,Credit Card,REF-89735314,TND,IBAN85481785009673
PAY00258,SINV00845,2022-08-02,234235.21,Check,REF-84124191,TND,IBAN98081785962560
PAY00259,SINV00081,2024-05-03,61224.08,Direct Debit,REF-52079288,TND,IBAN10670884760749
PAY00260,SINV00596,2023-01-21,48087.96,Credit Card,REF-32822368,TND,IBAN27983547514909
PAY00261,SINV00078,2023-06-27,226787.03,Check,REF-93675389,TND,IBAN38819320229385
PAY00262,SINV00877,2022-07-12,169970.8,Credit Card,REF-33424272,TND,IBAN42036803067902
PAY00263,SINV00407,2023-06-30,203886.35,Credit Card,REF-50932378,TND,IBAN29448724504513
PAY00264,SINV00085,2024-01-06,61438.08,Check,REF-17771281,TND,IBAN40157180517789
PAY00265,SINV00007,2022-10-30,295612.48,Direct Debit,REF-99588824,TND,IBAN45786017457212
PAY00266,SINV00257,2023-06-01,77652.56,Wire Transfer,REF-46376505,TND,IBAN33470576211072
PAY00267,SINV00158,2022-06-13,160065.55,Direct Debit,REF-35709945,TND,IBAN34834045953922
PAY00268,SINV00868,2022-11-04,21340.48,SEPA,REF-67038855,TND,IBAN65619768467877
PAY00269,SINV00443,2024-09-14,47606.05,Wire Transfer,REF-69687554,TND,IBAN16386964616957
PAY00270,SINV00197,2023-08-30,275400.75,Wire Transfer,REF-63689924,TND,IBAN30646753071740
PAY00271,SINV00060,2023-11-22,79470.61,Credit Card,REF-69873575,TND,IBAN54756535021869
PAY00272,SINV00280,2024-03-11,295372.5,Bank Transfer,REF-44891700,TND,IBAN46220755944547
PAY00273,SINV00410,2023-08-06,61202.76,Check,REF-13742937,TND,IBAN17218613459928
PAY00274,SINV00895,2024-04-11,426423.53,Wire Transfer,REF-95498429,TND,IBAN33262634866435
PAY00275,SINV00095,2022-07-10,10623.81,Wire Transfer,REF-70725838,TND,IBAN14480512632363
